,Overall,Black or African American,Other,White,p,test,Missing
liver_transplant_listed = 1 (%),317 (15.4),15 (8.5),41 (19.4),261 (15.6),0.011,,0.1
liver_transplant = 1 (%),167 (26.6),7 (13.7),25 (32.9),135 (27.0),0.052,,69.6
kidney_transplant = 1 (%),27 (1.3),4 (2.3),5 (2.4),18 (1.1),0.087,exact,0
palliative_care = 1 (%),447 (21.7),41 (23.4),37 (17.6),369 (22.0),0.291,,0.1
discharge_disposition (%),,,,,0.014,,0.3
1,389 (18.9),40 (22.9),56 (26.5),293 (17.5),,,
2,1067 (51.9),85 (48.6),107 (50.7),875 (52.4),,,
3,344 (16.7),25 (14.3),32 (15.2),287 (17.2),,,
4,257 (12.5),25 (14.3),16 (7.6),216 (12.9),,,
code_status (%),,,,,0.555,,0.3
1,1309 (63.7),111 (63.1),126 (59.7),1072 (64.2),,,
2,428 (20.8),35 (19.9),53 (25.1),340 (20.4),,,
3,319 (15.5),30 (17.0),32 (15.2),257 (15.4),,,
Akin (%),,,,,0.005,,0.8
1,700 (34.2),55 (31.2),56 (27.2),589 (35.4),,,
2,471 (23.0),39 (22.2),38 (18.4),394 (23.7),,,
3,875 (42.8),82 (46.6),112 (54.4),681 (40.9),,,
final_type_of_aki (%),,,,,0.056,,0
1,914 (44.3),75 (42.6),78 (37.0),761 (45.4),,,
2,249 (12.1),15 (8.5),22 (10.4),212 (12.6),,,
3,628 (30.4),61 (34.7),73 (34.6),494 (29.5),,,
4,123 (6.0),13 (7.4),14 (6.6),96 (5.7),,,
5,149 (7.2),12 (6.8),24 (11.4),113 (6.7),,,
MELD_baseline (median [IQR]),"22.00 [16.75, 29.00]","22.00 [17.00, 28.00]","23.00 [18.00, 31.00]","22.00 [16.00, 29.00]",0.132,nonnorm,3.1
MELD_Na_baseline (median [IQR]),"26.00 [19.00, 31.00]","25.00 [20.00, 30.00]","27.00 [20.00, 33.00]","25.00 [19.00, 31.00]",0.131,nonnorm,3.1
site (%),,,,,<0.001,,0
   baylor,220 (10.7),28 (15.9),19 (9.0),173 (10.3),,,
   indiana,223 (10.8),10 (5.7),13 (6.2),200 (11.9),,,
   jacksonville,112 (5.4),8 (4.5),6 (2.8),98 (5.8),,,
   kentukey,195 (9.5),13 (7.4),4 (1.9),178 (10.6),,,
   MCW,126 (6.1),25 (14.2),18 (8.5),83 (5.0),,,
   mgh,385 (18.7),32 (18.2),43 (20.4),310 (18.5),,,
   michigan,163 (7.9),12 (6.8),6 (2.8),145 (8.7),,,
   oschner,129 (6.3),21 (11.9),24 (11.4),84 (5.0),,,
   rochester,256 (12.4),2 (1.1),22 (10.4),232 (13.8),,,
   usc,65 (3.2),2 (1.1),35 (16.6),28 (1.7),,,
   yale,189 (9.2),23 (13.1),21 (10.0),145 (8.7),,,
AKI_responders (%),,,,,0.019,,0.8
   complete response,863 (42.2),68 (38.6),69 (33.5),726 (43.6),,,
   no response,883 (43.2),85 (48.3),108 (52.4),690 (41.5),,,
   partial response,300 (14.7),23 (13.1),29 (14.1),248 (14.9),,,
clif_score (median [IQR]),"9.00 [8.00, 11.00]","9.00 [8.00, 11.00]","10.00 [8.00, 12.00]","9.00 [8.00, 11.00]",0.017,nonnorm,0
MAP (median [IQR]),"69.00 [60.67, 77.00]","73.00 [66.17, 81.83]","68.67 [61.00, 75.50]","68.67 [60.33, 77.00]",<0.001,nonnorm,0
CLIF_C_Score (median [IQR]),"48.84 [42.41, 55.66]","47.35 [42.20, 55.00]","49.66 [41.47, 57.29]","48.94 [42.56, 55.36]",0.437,nonnorm,0
aclf_grade (%),,,,,0.229,,0
1,306 (14.8),33 (18.8),28 (13.3),245 (14.6),,,
2,617 (29.9),57 (32.4),56 (26.5),504 (30.1),,,
3,1140 (55.3),86 (48.9),127 (60.2),927 (55.3),,,
status_90days (median [IQR]),"0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]",0.049,nonnorm,0
time_90days (median [IQR]),"72.00 [16.00, 90.00]","81.00 [15.00, 90.00]","37.00 [10.50, 90.00]","76.00 [16.00, 90.00]",0.005,nonnorm,0
Encephalopathy = 1 (%),392 (19.0),37 (21.0),44 (20.9),311 (18.6),0.562,,0
Alcoholic_hepatitis = 1 (%),69 (3.3),6 (3.4),7 (3.3),56 (3.3),0.999,,0
HCC = 1 (%),34 (1.6),4 (2.3),7 (3.3),23 (1.4),0.078,exact,0
New_diagnosis_of_cirrhosis = 1 (%),41 (2.0),2 (1.1),8 (3.8),31 (1.8),0.129,exact,0
Transplant_evalutation = 1 (%),135 (6.5),8 (4.5),36 (17.1),91 (5.4),<0.001,,0
SBP = 1 (%),84 (4.1),6 (3.4),8 (3.8),70 (4.2),0.866,,0
aki_stage_4 (%),,,,,<0.001,,0.8
1,700 (34.2),55 (31.2),56 (27.2),589 (35.4),,,
2,471 (23.0),39 (22.2),38 (18.4),394 (23.7),,,
3,501 (24.5),50 (28.4),41 (19.9),410 (24.6),,,
4,374 (18.3),32 (18.2),71 (34.5),271 (16.3),,,
death_in_90days_status = 1 (%),752 (36.5),68 (38.6),79 (37.4),605 (36.1),0.762,,0
death_in_90days_time (median [IQR]),"90.00 [18.00, 90.00]","90.00 [15.00, 90.00]","65.00 [14.00, 90.00]","90.00 [19.00, 90.00]",0.109,nonnorm,0
death_in_30days_status = 1 (%),510 (24.7),51 (29.0),57 (27.0),402 (24.0),0.247,,0
death_in_30days_time (median [IQR]),"30.00 [18.00, 30.00]","30.00 [15.00, 30.00]","30.00 [14.00, 30.00]","30.00 [19.00, 30.00]",0.152,nonnorm,0
death_in_60days_status = 1 (%),671 (32.5),61 (34.7),71 (33.6),539 (32.2),0.745,,0
death_in_60days_time (median [IQR]),"60.00 [18.00, 60.00]","60.00 [15.00, 60.00]","60.00 [14.00, 60.00]","60.00 [19.00, 60.00]",0.119,nonnorm,0
death_discharge = 1 (%),398 (19.4),43 (24.6),56 (26.8),299 (17.9),0.002,,0.5
baseline_creatinine (median [IQR]),"1.10 [0.87, 1.37]","1.12 [0.90, 1.40]","1.00 [0.80, 1.27]","1.10 [0.88, 1.38]",0.013,nonnorm,17.6
admission_route (%),,,,,<0.001,exact,0.1
1,1542 (74.9),151 (86.8),141 (66.8),1250 (74.6),,,
2,516 (25.0),23 (13.2),70 (33.2),423 (25.3),,,
3,2 (0.1),0 (0.0),0 (0.0),2 (0.1),,,
los (median [IQR]),"9.00 [4.00, 16.00]","9.00 [5.00, 15.00]","9.00 [5.00, 19.00]","8.00 [4.00, 16.00]",0.243,nonnorm,0.1
