"","level","Overall","American Indian or Alaska Native","Asian","Black or African American","Native Hawaiian or Other Pacific Islander","Other","White","p","test","Missing"
"hcc_admission (%)","0","1769 (88.5)","9 (75.0)","30 (88.2)","150 (85.2)","3 (100.0)","83 (83.0)","1494 (89.3)","0.134","","0.1"
"","1","229 (11.5)","3 (25.0)","4 (11.8)","26 (14.8)","0 (0.0)","17 (17.0)","179 (10.7)","","",""
"tips_admission (%)","0","1835 (91.9)","12 (100.0)","31 (91.2)","170 (96.6)","3 (100.0)","93 (93.0)","1526 (91.3)","0.187","","0.2"
"","1","161 (8.1)","0 (0.0)","3 (8.8)","6 (3.4)","0 (0.0)","7 (7.0)","145 (8.7)","","",""
"lvp_admission (%)","0","1345 (67.4)","4 (33.3)","26 (76.5)","122 (69.3)","2 (66.7)","64 (64.0)","1127 (67.5)","0.134","","0.2"
"","1","650 (32.6)","8 (66.7)","8 (23.5)","54 (30.7)","1 (33.3)","36 (36.0)","543 (32.5)","","",""
"alcoholic_hepatitis_admission (%)","0","1716 (85.9)","12 (100.0)","31 (91.2)","152 (86.4)","2 (66.7)","87 (87.0)","1432 (85.6)","0.560","","0.1"
"","1","282 (14.1)","0 (0.0)","3 (8.8)","24 (13.6)","1 (33.3)","13 (13.0)","241 (14.4)","","",""
"na_admit (median [IQR])","","135.00 [130.00, 138.00]","129.50 [128.75, 138.50]","134.50 [132.00, 139.75]","135.00 [132.00, 139.00]","134.00 [124.50, 137.00]","134.00 [130.00, 138.00]","134.00 [130.00, 138.00]","0.123","nonnorm","0.0"
"k_admit (median [IQR])","","4.40 [3.80, 5.00]","4.60 [3.98, 4.93]","4.55 [3.90, 5.57]","4.30 [3.70, 5.10]","4.20 [3.75, 5.60]","4.50 [4.07, 5.10]","4.40 [3.80, 5.00]","0.517","nonnorm","0.4"
"cl_admit (median [IQR])","","100.00 [95.00, 105.00]","101.50 [101.00, 105.00]","100.50 [98.25, 105.00]","101.00 [96.00, 106.00]","101.00 [97.50, 103.00]","100.00 [95.00, 104.00]","100.00 [94.00, 105.00]","0.030","nonnorm","0.0"
"co2_admit (median [IQR])","","21.00 [18.00, 24.00]","16.50 [14.50, 18.75]","19.50 [18.00, 21.75]","20.00 [18.00, 23.00]","9.00 [8.00, 13.50]","21.00 [18.00, 24.00]","21.00 [18.00, 24.00]","0.005","nonnorm","0.1"
"bun_admit (median [IQR])","","38.00 [24.00, 56.00]","31.00 [20.50, 52.50]","27.50 [21.50, 54.00]","36.00 [20.00, 53.25]","68.00 [45.00, 68.50]","40.00 [22.50, 54.25]","39.00 [25.00, 56.00]","0.192","nonnorm","0.0"
"creatinine_admission (median [IQR])","","1.94 [1.50, 2.80]","2.25 [1.36, 3.26]","1.93 [1.59, 2.36]","2.00 [1.62, 2.92]","1.96 [1.77, 3.40]","1.92 [1.31, 2.74]","1.94 [1.50, 2.79]","0.593","nonnorm","0.0"
"urine_creatinine (median [IQR])","","108.00 [68.27, 156.00]","113.00 [99.00, 145.00]","76.00 [57.00, 112.00]","130.40 [77.70, 186.00]","197.00 [197.00, 197.00]","90.00 [66.25, 122.95]","107.00 [67.00, 154.80]","0.004","nonnorm","37.4"
"ca_admit (median [IQR])","","8.70 [8.20, 9.20]","8.70 [8.17, 8.83]","8.85 [8.40, 9.17]","8.80 [8.10, 9.30]","7.80 [7.80, 9.35]","8.50 [8.00, 9.05]","8.70 [8.20, 9.10]","0.415","nonnorm","0.4"
"mg_admit (median [IQR])","","2.00 [1.70, 2.30]","2.10 [1.78, 2.20]","2.00 [1.80, 2.40]","1.90 [1.70, 2.20]","2.50 [2.05, 2.55]","2.10 [1.70, 2.38]","2.00 [1.70, 2.30]","0.440","nonnorm","24.4"
"phos_admit (median [IQR])","","3.90 [3.10, 4.80]","3.20 [3.20, 3.95]","4.40 [3.20, 4.90]","3.80 [2.90, 4.80]","5.50 [5.50, 6.00]","3.80 [3.00, 4.80]","3.90 [3.20, 4.80]","0.145","nonnorm","32.7"
"peak_creatinine (median [IQR])","","2.54 [1.93, 3.63]","3.38 [1.88, 3.82]","2.42 [1.92, 3.78]","2.85 [2.10, 4.02]","3.21 [2.46, 4.03]","2.43 [1.90, 3.42]","2.52 [1.92, 3.57]","0.197","nonnorm","0.5"
"alt_admit (median [IQR])","","31.00 [20.00, 53.00]","27.50 [23.75, 34.25]","32.50 [24.25, 80.25]","31.00 [20.00, 60.25]","53.00 [47.50, 91.50]","31.00 [19.75, 53.00]","31.00 [19.00, 53.00]","0.366","nonnorm","1.1"
"alkphos_admit (median [IQR])","","133.50 [94.00, 196.00]","115.00 [94.75, 138.25]","126.00 [92.50, 165.25]","132.50 [92.75, 201.00]","132.00 [123.00, 194.00]","143.50 [101.00, 216.25]","133.00 [94.00, 194.00]","0.327","nonnorm","1.1"
"tb_admit (median [IQR])","","2.50 [1.10, 6.70]","2.50 [1.23, 5.18]","2.15 [1.60, 6.68]","2.25 [1.10, 6.10]","4.20 [3.60, 19.50]","3.60 [1.67, 8.48]","2.50 [1.10, 6.70]","0.158","nonnorm","1.5"
"alb_admit (median [IQR])","","2.90 [2.50, 3.40]","3.25 [2.77, 3.73]","2.95 [2.65, 3.68]","2.80 [2.30, 3.40]","2.50 [2.05, 2.55]","2.80 [2.38, 3.42]","2.90 [2.50, 3.40]","0.093","nonnorm","1.2"
"nh3_admit (median [IQR])","","59.00 [37.00, 95.25]","69.00 [39.00, 190.00]","54.00 [32.00, 120.00]","58.00 [41.00, 107.00]","90.00 [61.50, 91.00]","63.00 [34.00, 112.00]","59.00 [37.00, 94.00]","0.784","nonnorm","50.4"
