"","Overall","Black or African American","White","p","test","Missing"
"MELD_Na_baseline (median [IQR])","25.00 [19.00, 31.00]","25.00 [20.00, 30.00]","25.00 [19.00, 31.00]","0.707","nonnorm","0.0"
"site (%)","","","","<0.001","","0.0"
"   baylor","60 (11.5)","28 (16.1)","32 (9.2)","","",""
"   indiana","52 (10.0)","10 (5.7)","42 (12.1)","","",""
"   jacksonville","30 (5.7)","8 (4.6)","22 (6.3)","","",""
"   kentukey","45 (8.6)","13 (7.5)","32 (9.2)","","",""
"   MCW","40 (7.7)","25 (14.4)","15 (4.3)","","",""
"   mgh","110 (21.1)","32 (18.4)","78 (22.4)","","",""
"   michigan","42 (8.0)","12 (6.9)","30 (8.6)","","",""
"   oschner","38 (7.3)","19 (10.9)","19 (5.5)","","",""
"   rochester","46 (8.8)","2 (1.1)","44 (12.6)","","",""
"   usc","5 (1.0)","2 (1.1)","3 (0.9)","","",""
"   yale","54 (10.3)","23 (13.2)","31 (8.9)","","",""
"AKI_responders (%)","","","","0.459","","0.8"
"   complete response","213 (41.1)","68 (39.1)","145 (42.2)","","",""
"   no response","231 (44.6)","84 (48.3)","147 (42.7)","","",""
"   partial response","74 (14.3)","22 (12.6)","52 (15.1)","","",""
"clif_score (median [IQR])","9.00 [8.00, 11.00]","9.00 [8.00, 11.00]","9.00 [8.00, 11.00]","0.488","nonnorm","0.0"
"MAP (median [IQR])","70.67 [61.42, 78.92]","73.00 [66.33, 81.58]","69.33 [58.67, 77.67]","<0.001","nonnorm","0.0"
"CLIF_C_Score (median [IQR])","48.25 [42.25, 55.24]","47.26 [42.17, 54.64]","48.80 [42.57, 55.33]","0.393","nonnorm","0.0"
"aclf_grade (%)","","","","0.487","","0.0"
"   1","87 (16.7)","33 (19.0)","54 (15.5)","","",""
"   2","166 (31.8)","57 (32.8)","109 (31.3)","","",""
"   3","269 (51.5)","84 (48.3)","185 (53.2)","","",""
"status_90days (median [IQR])","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.00 [0.00, 1.00]","0.657","nonnorm","0.0"
"time_90days (median [IQR])","89.50 [16.00, 90.00]","86.50 [15.00, 90.00]","90.00 [17.75, 90.00]","0.569","nonnorm","0.0"
"Encephalopathy = 1 (%)","98 (18.8)","36 (20.7)","62 (17.8)","0.501","","0.0"
"Alcoholic_hepatitis = 1 (%)","18 (3.4)","6 (3.4)","12 (3.4)","1.000","","0.0"
"HCC = 1 (%)","11 (2.1)","4 (2.3)","7 (2.0)","1.000","exact","0.0"
"New_diagnosis_of_cirrhosis = 1 (%)","7 (1.3)","2 (1.1)","5 (1.4)","1.000","exact","0.0"
"Transplant_evalutation = 1 (%)","19 (3.6)","8 (4.6)","11 (3.2)","0.563","","0.0"
"SBP = 1 (%)","19 (3.6)","6 (3.4)","13 (3.7)","1.000","","0.0"
"aki_stage_4 (%)","","","","0.970","","0.8"
"   1","165 (31.9)","55 (31.6)","110 (32.0)","","",""
"   2","116 (22.4)","39 (22.4)","77 (22.4)","","",""
"   3","140 (27.0)","49 (28.2)","91 (26.5)","","",""
"   4","97 (18.7)","31 (17.8)","66 (19.2)","","",""
"death_discharge = 1 (%)","117 (22.5)","42 (24.3)","75 (21.6)","0.566","","0.4"
"baseline_creatinine (median [IQR])","1.12 [0.90, 1.39]","1.12 [0.90, 1.40]","1.12 [0.89, 1.38]","0.497","nonnorm","14.2"
"admission_route (%)","","","","0.003","exact","0.0"
"   1","412 (78.9)","151 (86.8)","261 (75.0)","","",""
"   2","108 (20.7)","23 (13.2)","85 (24.4)","","",""
"   3","2 (0.4)","0 (0.0)","2 (0.6)","","",""
"los (median [IQR])","8.00 [4.00, 16.00]","9.00 [5.00, 15.00]","8.00 [4.00, 16.00]","0.363","nonnorm","0.0"
