,Overall,0,1,p,test,Missing
   yale,145 (8.7),91 (8.5),54 (8.9),,,
AKI_responders (%),,,,<0.001,,0.7
   complete response,726 (43.6),600 (56.3),126 (21.1),,,
   no response,690 (41.5),309 (29.0),381 (63.7),,,
   partial response,248 (14.9),157 (14.7),91 (15.2),,,
clif_score (median [IQR]),"9.00 [8.00, 11.00]","8.00 [7.00, 10.00]","10.00 [9.00, 12.00]",<0.001,nonnorm,0
MAP (median [IQR]),"68.67 [60.33, 77.00]","69.67 [61.67, 77.67]","66.00 [58.00, 74.67]",<0.001,nonnorm,0
CLIF_C_Score (median [IQR]),"48.94 [42.56, 55.36]","46.29 [40.75, 52.39]","53.22 [47.56, 59.32]",<0.001,nonnorm,0
aclf_grade (%),,,,<0.001,,0
1,245 (14.6),207 (19.3),38 (6.3),,,
2,504 (30.1),376 (35.1),128 (21.2),,,
3,927 (55.3),488 (45.6),439 (72.6),,,
status_90days (median [IQR]),"0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]",<0.001,nonnorm,0
time_90days (median [IQR]),"76.00 [16.00, 90.00]","90.00 [86.50, 90.00]","17.00 [7.00, 38.00]",<0.001,nonnorm,0
Encephalopathy = 1 (%),311 (18.6),173 (16.2),138 (22.8),0.001,,0
Alcoholic_hepatitis = 1 (%),56 (3.3),32 (3.0),24 (4.0),0.353,,0
HCC = 1 (%),23 (1.4),10 (0.9),13 (2.1),0.067,,0
New_diagnosis_of_cirrhosis = 1 (%),31 (1.8),17 (1.6),14 (2.3),0.383,,0
Transplant_evalutation = 1 (%),91 (5.4),68 (6.3),23 (3.8),0.036,,0
SBP = 1 (%),70 (4.2),35 (3.3),35 (5.8),0.019,,0
aki_stage_4 (%),,,,<0.001,,0.7
1,589 (35.4),463 (43.4),126 (21.1),,,
2,394 (23.7),266 (25.0),128 (21.4),,,
3,410 (24.6),232 (21.8),178 (29.8),,,
4,271 (16.3),105 (9.8),166 (27.8),,,
death_discharge = 1 (%),299 (17.9),5 (0.5),294 (48.8),<0.001,,0.4
baseline_creatinine (median [IQR]),"1.10 [0.88, 1.38]","1.14 [0.90, 1.40]","1.02 [0.80, 1.31]",<0.001,nonnorm,16.2
