,Overall,0,1,p,test,Missing
MAP (median [IQR]),"69.00 [60.67, 77.33]","70.00 [62.33, 78.25]","66.67 [58.33, 74.33]",<0.001,nonnorm,0
CLIF_C_Score (median [IQR]),"48.95 [42.72, 55.67]","46.32 [40.78, 52.51]","53.36 [47.31, 59.57]",<0.001,nonnorm,0
aclf_grade (%),,,,<0.001,,0
1,267 (14.7),226 (19.7),41 (6.2),,,
2,545 (30.1),404 (35.3),141 (21.2),,,
3,999 (55.2),516 (45.0),483 (72.6),,,
status_90days (median [IQR]),"0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]",<0.001,nonnorm,0
time_90days (median [IQR]),"76.00 [16.00, 90.00]","90.00 [90.00, 90.00]","17.00 [8.00, 38.00]",<0.001,nonnorm,0
Encephalopathy = 1 (%),340 (18.8),192 (16.8),148 (22.3),0.005,,0
Alcoholic_hepatitis = 1 (%),62 (3.4),36 (3.1),26 (3.9),0.464,,0
HCC = 1 (%),28 (1.5),11 (1.0),17 (2.6),0.014,,0
New_diagnosis_of_cirrhosis = 1 (%),34 (1.9),20 (1.7),14 (2.1),0.715,,0
Transplant_evalutation = 1 (%),104 (5.7),76 (6.6),28 (4.2),0.042,,0
SBP = 1 (%),78 (4.3),40 (3.5),38 (5.7),0.033,,0
aki_stage_4 (%),,,,<0.001,,0.6
1,629 (34.9),490 (43.0),139 (21.1),,,
2,415 (23.1),278 (24.4),137 (20.8),,,
3,449 (24.9),250 (21.9),199 (30.2),,,
4,307 (17.1),122 (10.7),185 (28.0),,,
death_discharge = 1 (%),340 (18.9),7 (0.6),333 (50.3),<0.001,,0.4
baseline_creatinine (median [IQR]),"1.10 [0.88, 1.38]","1.15 [0.92, 1.40]","1.02 [0.80, 1.30]",<0.001,nonnorm,16.1
