,Overall,0,1,p,test,Missing
CLIF_C_Score (median [IQR]),"45.56 [39.57, 53.52]","42.26 [38.64, 50.67]","53.24 [47.07, 57.35]",<0.001,nonnorm,0
aclf_grade (%),,,,<0.001,exact,0
1,31 (17.4),30 (22.7),1 (2.2),,,
2,58 (32.6),51 (38.6),7 (15.2),,,
3,89 (50.0),51 (38.6),38 (82.6),,,
status_90days (median [IQR]),"0.00 [0.00, 1.00]","0.00 [0.00, 0.00]","1.00 [1.00, 1.00]",<0.001,nonnorm,0
time_90days (median [IQR]),"90.00 [20.25, 90.00]","90.00 [56.50, 90.00]","19.50 [9.00, 40.50]",<0.001,nonnorm,0
Encephalopathy = 1 (%),38 (21.3),25 (18.9),13 (28.3),0.263,,0
Alcoholic_hepatitis = 1 (%),4 (2.2),3 (2.3),1 (2.2),1,exact,0
HCC = 1 (%),5 (2.8),2 (1.5),3 (6.5),0.11,exact,0
New_diagnosis_of_cirrhosis = 1 (%),3 (1.7),1 (0.8),2 (4.3),0.164,exact,0
Transplant_evalutation = 1 (%),22 (12.4),17 (12.9),5 (10.9),0.923,,0
SBP = 1 (%),6 (3.4),5 (3.8),1 (2.2),1,exact,0
aki_stage_4 (%),,,,0.001,,1.1
1,54 (30.7),46 (35.4),8 (17.4),,,
2,42 (23.9),35 (26.9),7 (15.2),,,
3,37 (21.0),27 (20.8),10 (21.7),,,
4,43 (24.4),22 (16.9),21 (45.7),,,
death_discharge = 1 (%),27 (15.3),0 (0.0),27 (58.7),<0.001,,0.6
baseline_creatinine (median [IQR]),"1.00 [0.81, 1.28]","1.02 [0.85, 1.30]","0.90 [0.76, 1.22]",0.092,nonnorm,16.9
